,Query,Relative Search Index
0,yeast infection pill,100
1,yeast infection,96
2,over the counter yeast infection pill,89
3,sleeping pill over the counter,66
4,viagra pill,63
5,water pill over the counter,59
6,viagra,56
7,best over the counter diet pill,43
8,abortion pill,30
9,best over the counter weight loss pill,30
10,best over the counter sleeping pill,13
11,pill identifier,10
12,strongest over the counter pain pill,3
