,Queries,Relative Search Volume
6,plan b,0.7539666687707997
1,abortion pill,0.13900181951018004
5,abortion clinic,0.095889843729073
0,at home abortion,0.006743782941298858
3,how to have a home abortion,0.0012243354142575163
4,home remedies for abortion,0.0011657986335215067
2,how to have an abortion at home,0.0008791422674659471
7,how to do an at home abortion,0.0006149693559001856
8,home abortion methods,0.0005136393775033064
