,Queries,Relative Search Volume
1,abortion pill,0.564537533344587
2,abortion clinic,0.3906576229167473
0,at home abortion,0.026268869070985988
5,at home abortions,0.0062681196418545955
3,home remedies for abortion,0.004907612938669852
4,how to have an abortion at home,0.0032320216032281964
6,how to do an at home abortion,0.0022614111443094954
7,home abortion methods,0.0018668093396176967
