,Query,Relative Search Index
0,at home abortion,100
1,abortion pill,37
2,how to have an abortion at home,12
3,how to have a home abortion,12
4,home remedies for abortion,11
5,abortion clinic,9
6,plan b,8
7,how to do an at home abortion,7
8,home abortion methods,4
