,Queries,Relative Search Volume
1,yeast infection,0.5168358887969645
6,viagra,0.2270850881410708
11,pill identifier,0.16510905611221371
8,abortion pill,0.06151372612885176
4,viagra pill,0.015291181751313023
0,yeast infection pill,0.010622425796928696
2,over the counter yeast infection pill,0.0010258824246249653
5,water pill over the counter,0.0006123760519301969
3,sleeping pill over the counter,0.0006100324276404497
7,best over the counter diet pill,0.0005244159721428841
9,best over the counter weight loss pill,0.0004501483083032805
10,best over the counter sleeping pill,0.00023052732377996815
12,strongest over the counter pain pill,8.925076423566385e-05
