initial search term,startDate,endDate,query,value,level
online therapy,2020-01,2020-08,free therapy,100,1
online therapy,2020-01,2020-08,online free therapy,100,1
online therapy,2020-01,2020-08,online physical therapy,73,1
online therapy,2020-01,2020-08,physical therapy,67,1
online therapy,2020-01,2020-08,online therapist,60,1
online therapy,2020-01,2020-08,therapist,57,1
online therapy,2020-01,2020-08,occupational therapy online,43,1
online therapy,2020-01,2020-08,occupational therapy,40,1
online therapy,2020-01,2020-08,speech therapy,36,1
online therapy,2020-01,2020-08,best online therapy,34,1
online therapy,2020-01,2020-08,speech therapy online,34,1
online therapy,2020-01,2020-08,therapy near me,33,1
online therapy,2020-01,2020-08,online counseling,31,1
online therapy,2020-01,2020-08,online therapy insurance,22,1
online therapy,2020-01,2020-08,talkspace,18,1
online therapy,2020-01,2020-08,physical therapy assistant,16,1
online therapy,2020-01,2020-08,online couples therapy,13,1
online therapy,2020-01,2020-08,online therapy reviews,13,1
online therapy,2020-01,2020-08,betterhelp,12,1
online therapy,2020-01,2020-08,online physical therapy degree,12,1
online therapy,2020-01,2020-08,online group therapy,12,1
online therapy,2020-01,2020-08,online therapy services,12,1
online therapy,2020-01,2020-08,online physical therapy programs,11,1
online therapy,2020-01,2020-08,online occupational therapy programs,10,1
online therapy,2020-01,2020-08,online therapy app,9,1
