initial search term,startDate,endDate,query,value,level
therapy near me,2020-01,2020-08,physical therapy,100,1
therapy near me,2020-01,2020-08,physical therapy near me,97,1
therapy near me,2020-01,2020-08,massage,32,1
therapy near me,2020-01,2020-08,massage therapy near me,31,1
therapy near me,2020-01,2020-08,massage therapy,31,1
therapy near me,2020-01,2020-08,massage near me,31,1
therapy near me,2020-01,2020-08,therapist,27,1
therapy near me,2020-01,2020-08,therapist near me,25,1
therapy near me,2020-01,2020-08,therapy jobs near me,24,1
therapy near me,2020-01,2020-08,jobs near me,23,1
therapy near me,2020-01,2020-08,occupational therapy near me,14,1
therapy near me,2020-01,2020-08,occupational therapy,12,1
therapy near me,2020-01,2020-08,physical therapy jobs near me,11,1
therapy near me,2020-01,2020-08,speech therapy near me,10,1
therapy near me,2020-01,2020-08,speech therapy,10,1
therapy near me,2020-01,2020-08,couples therapy,10,1
therapy near me,2020-01,2020-08,couples therapy near me,9,1
therapy near me,2020-01,2020-08,counseling near me,9,1
therapy near me,2020-01,2020-08,behavioral therapy,8,1
therapy near me,2020-01,2020-08,pediatric therapy near me,8,1
therapy near me,2020-01,2020-08,behavioral therapy near me,7,1
therapy near me,2020-01,2020-08,family therapy near me,7,1
therapy near me,2020-01,2020-08,family therapy,7,1
therapy near me,2020-01,2020-08,hormone therapy near me,6,1
therapy near me,2020-01,2020-08,therapy dog,6,1
