,Initial Search Term,Related Query,Relative Search Volume
0,mental health resources,covid mental health resources,0.24039270661253614
1,mental health resources,free mental health resources,0.1954797404894488
2,mental health resources,mental health resources near me,0.15927869206639778
3,mental health resources,black mental health resources,0.1300384380950743
4,mental health resources,covid 19 mental health resources,0.13390366925347713
5,mental health resources,mental health resources mn,0.08009215842948209
6,mental health resources,teen mental health resources,0.06081459505358362
