initial_search_query,query,position,link,displayLink,site_probability
therapy near me,massage near me,9,https://www.spafinder.com/find/deep-tissue-massage/,www.spafinder.com,0.0006966516813715622
therapy near me,massage near me,10,https://handandstone.com/,handandstone.com,0.0003483258406857811
therapy near me,therapist,1,https://www.talkspace.com/blog/therapist-psychotherapist-complete-definition/,www.talkspace.com,0.0375473956107015
therapy near me,therapist,2,https://www.betterhelp.com/advice/psychologists/what-is-the-difference-between-a-therapist-and-a-psychologist/,www.betterhelp.com,0.021455654634686572
therapy near me,therapist,3,https://www.goodtherapy.org/find-therapist.html,www.goodtherapy.org,0.01609174097601493
therapy near me,therapist,4,https://www.psychologytoday.com/us/therapists,www.psychologytoday.com,0.00858226185387463
therapy near me,therapist,5,https://www.theatlantic.com/projects/dear-therapist/,www.theatlantic.com,0.007509479122140301
therapy near me,therapist,6,https://www.webmd.com/mental-health/features/how-to-find-therapist,www.webmd.com,0.005363913658671643
therapy near me,therapist,7,https://www.therapistaid.com/,www.therapistaid.com,0.004291130926937315
therapy near me,therapist,8,https://www.onetonline.org/link/summary/29-1129.01?redir=29-1125.01,www.onetonline.org,0.0032183481952029855
therapy near me,therapist,9,https://www.healthline.com/health/how-to-find-a-therapist,www.healthline.com,0.0021455654634686574
therapy near me,therapist,10,https://www.bls.gov/ooh/healthcare/physical-therapists.htm,www.bls.gov,0.0010727827317343287
therapy near me,therapist near me,1,https://www.psychologytoday.com/us/therapists,www.psychologytoday.com,0.0041585834223986555
therapy near me,therapist near me,2,https://thervo.com/therapists,thervo.com,0.0023763333842278037
therapy near me,therapist near me,3,https://www.goodtherapy.org/find-therapist.html,www.goodtherapy.org,0.0017822500381708523
therapy near me,therapist near me,4,https://www.talkspace.com/blog/counseling-near-me/,www.talkspace.com,0.0009505333536911214
therapy near me,therapist near me,5,https://www.betterhelp.com/advice/therapy/how-do-i-find-a-therapist-near-me/,www.betterhelp.com,0.0008317166844797313
therapy near me,therapist near me,6,https://www.realsimple.com/health/mind-mood/emotional-health/how-to-find-a-therapist,www.realsimple.com,0.0005940833460569509
therapy near me,therapist near me,7,https://www.inclusivetherapists.com/,www.inclusivetherapists.com,0.0004752666768455607
therapy near me,therapist near me,8,https://www.zocdoc.com/therapist-counselors/queens-213722pm,www.zocdoc.com,0.0003564500076341705
therapy near me,therapist near me,9,https://www.gottman.com/couples/find-a-therapist/,www.gottman.com,0.00023763333842278034
therapy near me,therapist near me,10,https://acceleratedresolutiontherapy.com/therapist-directory/,acceleratedresolutiontherapy.com,0.00011881666921139017
therapy near me,therapy jobs near me,1,https://www.indeed.com/q-Mental-Health-Therapist-jobs.html,www.indeed.com,0.0005337506252912705
therapy near me,therapy jobs near me,2,https://www.ziprecruiter.com/n/Therapist-Jobs-Near-Me,www.ziprecruiter.com,0.00030500035730929753
therapy near me,therapy jobs near me,3,"https://www.glassdoor.com/Job/mental-health-therapist-jobs-SRCH_KO0,23.htm",www.glassdoor.com,0.0002287502679819731
therapy near me,therapy jobs near me,4,https://www.simplyhired.com/search?q=mental+health+therapist,www.simplyhired.com,0.000122000142923719
therapy near me,therapy jobs near me,5,https://jobs.apta.org/,jobs.apta.org,0.00010675012505825414
therapy near me,therapy jobs near me,6,https://www.fortusgroup.com/tag/occupational-therapy-jobs-near-me/,www.fortusgroup.com,7.625008932732438e-05
therapy near me,therapy jobs near me,7,https://otpotential.com/occupational-therapy-jobs,otpotential.com,6.10000714618595e-05
therapy near me,therapy jobs near me,8,https://www.procaretherapy.com/school-jobs/school-based-physical-therapist-jobs/,www.procaretherapy.com,4.575005359639462e-05
therapy near me,therapy jobs near me,9,https://thenonclinicalpt.com/non-clinical-jobs-physical-therapists/,thenonclinicalpt.com,3.050003573092975e-05
therapy near me,therapy jobs near me,10,https://www.zippia.com/director-of-physical-therapy-jobs/jobs/,www.zippia.com,1.5250017865464875e-05
therapy near me,jobs near me,1,https://www.ziprecruiter.com/n/Full-Time-Jobs-Near-Me,www.ziprecruiter.com,0.09401271045958746
therapy near me,jobs near me,2,https://www.snagajob.com/search,www.snagajob.com,0.05372154883404998
therapy near me,jobs near me,3,https://www.linkedin.com/jobs,www.linkedin.com,0.04029116162553748
therapy near me,jobs near me,4,https://www.starbucks.com/careers/,www.starbucks.com,0.021488619533619992
therapy near me,jobs near me,5,https://careers.walmart.com/,careers.walmart.com,0.018802542091917496
therapy near me,jobs near me,6,https://careers.fedex.com/fedex/,careers.fedex.com,0.013430387208512496
therapy near me,jobs near me,7,https://jobs.kroger.com/,jobs.kroger.com,0.010744309766809996
therapy near me,jobs near me,8,https://corporate.lowes.com/careers,corporate.lowes.com,0.008058232325107497
therapy near me,jobs near me,9,https://www.monster.com/jobs/,www.monster.com,0.005372154883404998
therapy near me,jobs near me,10,https://corporate.target.com/careers/,corporate.target.com,0.002686077441702499
therapy near me,occupational therapy near me,1,https://www.aota.org/Practice/Productive-Aging/Driving/driving-specialists-directory-search.aspx,www.aota.org,0.00029356627020609707
therapy near me,occupational therapy near me,2,https://www.yelp.com/nearme/occupational-therapy,www.yelp.com,0.00016775215440348405
therapy near me,occupational therapy near me,3,https://www.aota.org/Education-Careers/Find-School.aspx,www.aota.org,0.00012581411580261302
therapy near me,occupational therapy near me,4,https://www.nrothandrehab.com/,www.nrothandrehab.com,6.710086176139361e-05
therapy near me,occupational therapy near me,5,https://www.maine.gov/pfr/professionallicensing/professions/occupational/index.html,www.maine.gov,5.8713254041219415e-05
