initial search term,startDate,endDate,query,value,level
mental health resources,2020-01,2020-08,covid mental health resources,100,1
mental health resources,2020-01,2020-08,free mental health resources,64,1
mental health resources,2020-01,2020-08,mental health resources near me,56,1
mental health resources,2020-01,2020-08,black mental health resources,51,1
mental health resources,2020-01,2020-08,covid 19 mental health resources,46,1
mental health resources,2020-01,2020-08,mental health resources mn,22,1
mental health resources,2020-01,2020-08,teen mental health resources,11,1
