,Initial Search Term,Related Query,Relative Search Volume
0,mental health resources,resources for mental health,0.7154435208832641
1,mental health resources,mental health resources near me,0.1155960472895598
2,mental health resources,teen mental health resources,0.058605731593621216
3,mental health resources,black mental health resources,0.11035470023355484
4,therapy near me,physical therapy,0.1067075171005933
5,therapy near me,physical therapy near me,0.006331165032925803
6,therapy near me,massage,0.37604601980609786
7,therapy near me,therapist,0.10718907408167892
8,therapy near me,massage therapy,0.01603220589628683
9,therapy near me,therapist near me,0.012118842246563757
10,therapy near me,massage near me,0.03475419214501272
11,therapy near me,massage therapy near me,0.001985255450024484
12,therapy near me,jobs near me,0.26880606189187245
13,therapy near me,occupational therapy,0.021088776114923567
14,therapy near me,occupational therapy near me,0.0008094029204862129
15,therapy near me,physical therapy jobs near me,0.0006855008714895081
16,therapy near me,speech therapy,0.01412231620169344
17,therapy near me,couples therapy near me,0.0005285638694957276
18,therapy near me,speech therapy near me,0.0007093272653326122
19,therapy near me,counseling near me,0.0072644206717323405
20,therapy near me,couples therapy,0.003645453368195733
21,therapy near me,iv therapy near me,0.000435884947135048
22,therapy near me,iv therapy,0.003422941994959293
23,therapy near me,pediatric therapy near me,0.00045756996348081765
24,therapy near me,behavioral therapy,0.006614392239568669
25,therapy near me,mental therapy near me,0.00037233759810478747
26,therapy near me,behavioral therapy near me,0.0004571872329335025
27,therapy near me,family therapy,0.008380290668811508
28,therapy near me,physical therapist near me,0.0010353004206006963
29,online therapy,free online therapy,0.004163669895646904
30,online therapy,free therapy,0.015712008099170602
31,online therapy,physical therapy,0.3987549595827769
32,online therapy,online physical therapy,0.002919437933499777
33,online therapy,online therapist,0.008035402813558289
34,online therapy,therapist,0.4005544882359324
35,online therapy,occupational therapy,0.0788065761049352
36,online therapy,best online therapy,0.0013804068196801122
37,online therapy,online speech therapy,0.0014392601091698096
38,online therapy,online counseling,0.018856901187833258
39,online therapy,online therapy jobs,0.0011988666194517974
40,online therapy,online therapy insurance,0.0007512311616851032
41,online therapy,physical therapy assistant,0.009934131297874715
42,online therapy,online therapy games,0.0006679276155691303
43,online therapy,talkspace,0.008889515672206309
44,online therapy,betterhelp,0.010503743846715258
45,online therapy,online occupational therapy programs,0.0006422052443094188
46,online therapy,online physical therapy degree,0.0005345009945052255
47,online therapy,online couples therapy,0.0004784548633988759
48,online therapy,online physical therapy programs,0.0005920550987402872
49,online therapy,free online therapy chat,0.00037975212900524124
50,online therapy,couples therapy,0.013622682356346429
51,online therapy,cognitive behavioral therapy,0.016144701108209418
52,online therapy,online therapy app,0.0003278373020045963
53,online therapy,massage therapy school,0.00470928390777491
