Week,CA,AL,NM,MO,ME,IN,WV
2020-01-05,17,4,9,8,22,10,5
2020-01-12,12,10,8,7,11,10,7
2020-01-19,10,5,8,7,34,8,12
2020-01-26,9,7,7,5,0,7,5
2020-02-02,14,4,16,7,11,4,5
2020-02-09,11,4,11,5,33,8,5
2020-02-16,8,8,9,9,11,4,2
2020-02-23,8,5,4,7,21,5,2
2020-03-01,11,5,10,6,31,6,5
2020-03-08,13,4,9,8,21,9,2
2020-03-15,12,11,14,13,19,12,12
2020-03-22,12,9,7,22,9,11,9
2020-03-29,21,28,14,34,62,16,24
2020-04-05,24,16,11,26,100,13,38
2020-04-12,27,12,33,23,78,12,6
2020-04-19,18,23,23,21,19,17,17
2020-04-26,33,26,17,19,35,15,22
2020-05-03,35,27,19,18,71,24,30
2020-05-10,54,18,15,20,47,24,14
2020-05-17,100,21,21,37,29,41,43
2020-05-24,81,25,14,27,19,35,38
2020-05-31,57,44,22,24,64,100,38
2020-06-07,60,20,21,23,66,86,31
2020-06-14,50,20,22,26,100,54,43
2020-06-21,41,23,17,24,10,41,100
2020-06-28,39,23,14,23,38,31,69
2020-07-05,38,19,100,16,57,31,51
2020-07-12,38,23,53,20,19,33,29
2020-07-19,28,24,35,16,39,24,38
2020-07-26,29,18,25,17,0,17,21
2020-08-02,29,19,32,19,39,18,33
2020-08-09,29,15,19,19,48,21,18
2020-08-16,22,16,22,19,10,15,20
2020-08-23,20,14,19,17,48,15,30
2020-08-30,20,16,24,15,29,15,30
2020-09-06,20,11,20,13,57,14,20
2020-09-13,18,11,17,16,37,14,14
2020-09-20,18,14,10,14,29,20,12
2020-09-27,22,16,40,16,10,14,20
2020-10-04,24,11,27,21,64,23,20
2020-10-11,23,17,32,21,23,26,13
2020-10-18,23,10,26,16,36,25,18
2020-10-25,20,13,27,14,24,33,18
2020-11-01,22,13,35,15,29,30,22
2020-11-08,29,14,23,12,34,20,22
2020-11-15,31,14,23,16,24,29,18
2020-11-22,23,12,15,11,12,22,5
2020-11-29,33,14,22,17,32,19,31
