Week,CA,AL,NM,MO,ME,IN,WV
2020-01-05,15,8,11,13,11,27,15
2020-01-12,14,9,13,13,0,28,21
2020-01-19,13,10,4,12,11,24,7
2020-01-26,14,7,9,13,43,24,10
2020-02-02,13,9,14,14,54,21,19
2020-02-09,12,8,16,14,11,19,7
2020-02-16,12,10,8,15,34,21,19
2020-02-23,11,6,5,11,83,18,7
2020-03-01,12,8,9,17,0,21,12
2020-03-08,14,7,11,12,10,16,10
2020-03-15,27,11,9,13,78,23,9
2020-03-22,13,11,10,9,19,18,11
2020-03-29,16,10,18,15,53,20,20
2020-04-05,12,11,12,10,9,16,11
2020-04-12,11,7,12,8,26,16,6
2020-04-19,10,10,7,7,9,12,4
2020-04-26,11,7,8,10,35,14,4
2020-05-03,11,6,9,9,0,15,17
2020-05-10,11,8,7,8,19,11,14
2020-05-17,12,4,17,12,10,11,11
2020-05-24,10,5,5,9,19,13,7
2020-05-31,11,8,11,11,9,9,14
2020-06-07,10,9,11,10,9,10,17
2020-06-14,8,9,9,7,10,15,14
2020-06-21,12,10,6,7,39,17,12
2020-06-28,12,10,9,10,9,19,10
2020-07-05,10,6,14,9,38,14,18
2020-07-12,10,8,6,9,29,17,16
2020-07-19,11,6,8,10,39,18,10
2020-07-26,10,7,16,10,19,16,13
2020-08-02,11,5,14,11,29,14,18
2020-08-09,11,9,5,10,0,13,15
2020-08-16,8,7,13,12,19,16,8
2020-08-23,9,7,7,9,29,15,10
2020-08-30,8,6,8,12,0,15,17
2020-09-06,8,9,5,8,10,16,15
2020-09-13,9,9,10,8,0,10,10
2020-09-20,10,5,9,10,0,16,10
2020-09-27,9,8,7,15,30,15,7
2020-10-04,8,7,12,14,21,11,12
2020-10-11,9,10,8,12,23,21,13
2020-10-18,10,9,10,12,12,16,16
2020-10-25,11,9,12,8,12,16,13
2020-11-01,9,4,13,11,10,12,9
2020-11-08,10,8,13,9,45,17,10
2020-11-15,11,9,11,12,59,21,8
2020-11-22,7,4,7,8,12,13,5
2020-11-29,11,6,21,15,48,18,14
