Week,CA,AL,NM,MO,ME,IN,WV
2019-01-06,59,52,100,71,99,72,15
2019-01-13,86,100,92,100,100,100,100
2019-01-20,54,41,58,40,58,45,42
2019-01-27,37,13,18,25,16,37,21
2019-02-03,36,22,17,32,24,26,21
2019-02-10,31,29,57,39,41,48,35
2019-02-17,25,25,17,38,43,65,42
2019-02-24,27,27,17,40,80,41,28
2019-03-03,22,33,17,24,49,31,14
2019-03-10,19,23,6,24,17,28,30
2019-03-17,23,26,29,28,25,37,15
2019-03-24,24,18,18,37,17,31,8
2019-03-31,32,23,35,47,16,31,30
2019-04-07,27,19,23,29,42,19,8
2019-04-14,19,19,24,36,36,27,23
2019-04-21,22,21,6,30,41,32,8
2019-04-28,24,29,42,39,49,35,23
2019-05-05,30,25,12,31,25,18,16
2019-05-12,20,33,24,30,84,31,16
2019-05-19,28,29,30,30,25,34,24
2019-05-26,26,15,18,30,16,23,16
2019-06-02,35,28,29,36,24,31,16
2019-06-09,28,30,18,49,16,41,32
2019-06-16,25,31,12,30,33,33,24
2019-06-23,29,28,58,31,33,29,16
2019-06-30,28,27,24,35,40,24,16
2019-07-07,30,39,23,31,62,41,8
2019-07-14,25,23,12,28,24,31,8
2019-07-21,33,46,35,33,24,53,8
2019-07-28,27,20,23,26,48,41,16
2019-08-04,34,34,18,30,31,41,8
2019-08-11,28,32,29,37,30,51,39
2019-08-18,23,30,44,32,23,28,0
2019-08-25,22,29,59,29,24,29,7
2019-09-01,27,20,53,29,30,32,0
2019-09-08,28,22,16,31,23,33,7
2019-09-15,26,28,16,26,15,34,0
2019-09-22,20,40,16,28,15,31,21
2019-09-29,31,19,37,25,31,34,7
2019-10-06,27,19,27,27,15,34,14
2019-10-13,27,30,22,33,32,35,0
2019-10-20,26,27,27,32,15,29,20
2019-10-27,21,25,16,24,15,29,20
2019-11-03,30,19,32,33,46,35,33
2019-11-10,25,23,16,28,23,34,13
2019-11-17,20,12,38,34,46,35,13
2019-11-24,16,15,5,24,32,34,0
2019-12-01,40,29,47,43,30,38,6
